lgb_importance_1,lgb_importance_2,lgb_importance_3,lgb_importance_4,lgb_importance_5
7268,9197,6824,10262,9018
11321,14175,10402,15575,13359
814,1051,674,1131,914
645,887,575,987,817
1098,1370,1071,1452,1247
709,914,641,1114,916
112,139,106,182,129
455,632,396,738,569
483,647,395,749,627
400,488,355,576,465
271,381,245,436,324
5523,7735,5313,8556,7041
6091,8719,5872,9532,7944
4526,6303,4078,7276,6113
4491,6634,4106,7056,5591
1457,1920,1303,2159,1857
1205,1559,1108,1752,1541
1638,2120,1414,2306,2111
1960,2588,1806,2905,2603
1096,1433,946,1582,1330
1191,1646,1054,1849,1613
1088,1529,972,1843,1562
893,1187,738,1438,1195
978,1238,885,1449,1245
1937,2066,1233,2250,2326
2001,2018,1294,2142,1830
1513,2152,1368,2048,1814
1967,1973,1277,2514,2543
